total-place,gender-place,name,time,diff
,219,"Weikard, Kathrin (GER)",07:30:56,+03:07:50
,220,"Axelsson, Josefin (SWE)",07:31:46,+03:08:40
,221,"Björling, Karin (SWE)",07:32:06,+03:09:00
,222,"Kroustkova, Vendula (CZE)",07:32:08,+03:09:02
,223,"Mortensen, Ella Ellingsen (NOR)",07:32:17,+03:09:11
,224,"Peters, Sarah Christina (CAN)",07:32:57,+03:09:51
,225,"Krekula, Outi (SWE)",07:33:18,+03:10:12
,226,"Lusth, Ilona (SWE)",07:33:27,+03:10:21
,227,"Tryggestad, Iren (NOR)",07:34:12,+03:11:06
,228,"Lord, Linnéa (SWE)",07:34:16,+03:11:10
,229,"Paluselli, Lara (ITA)",07:34:17,+03:11:11
,230,"Wallenberg, Helena (SWE)",07:34:46,+03:11:40
,231,"Hallberg, Petra (SWE)",07:34:46,+03:11:40
,232,"Turesson, Annie (SWE)",07:34:50,+03:11:44
,233,"Eriksson, Olivia (SWE)",07:35:25,+03:12:19
,234,"Erkfeldt, Sara (SWE)",07:36:21,+03:13:15
,235,"Dalbon, Marta (ITA)",07:36:38,+03:13:32
,236,"Hasenöhrl, Veronika (AUT)",07:37:00,+03:13:54
,237,"Grön, Anna (SWE)",07:37:06,+03:14:00
,238,"Häggström, Maria (SWE)",07:37:52,+03:14:46
,239,"Bergshem, Åsa (SWE)",07:37:53,+03:14:47
,240,"Weikard, Luca Anna (GER)",07:38:36,+03:15:30
,241,"Richter, Sophie (GER)",07:38:37,+03:15:31
,242,"Eriksson, Liv (SWE)",07:39:09,+03:16:03
,243,"Spieker, Diana (GER)",07:39:16,+03:16:10
,244,"Fridström, Lovisa (SWE)",07:39:27,+03:16:21
,245,"Hagberg, Sirkka (SWE)",07:39:41,+03:16:35
,246,"Andersson, Annie (SWE)",07:40:02,+03:16:56
,247,"Himma, Evelyn (EST)",07:41:06,+03:18:00
,248,"Sivertsson, Rebecca (SWE)",07:41:06,+03:18:00
,249,"Björkemyr, Emilia (SWE)",07:41:18,+03:18:12
,250,"Vilz, Adriana (BEL)",07:42:20,+03:19:14
,251,"Ån Gunterberg, Lovisa (SWE)",07:42:40,+03:19:34
,252,"Jonsson, Annelie (SWE)",07:42:59,+03:19:53
,253,"Thörnäs, Anna (SWE)",07:43:48,+03:20:42
,254,"de Martin Pinter, Veronica (ITA)",07:44:15,+03:21:09
,255,"Westergren, Emma (SWE)",07:45:05,+03:21:59
,256,"Nordesjö, Meta (SWE)",07:45:49,+03:22:43
,257,"Øyen, Vigdis (NOR)",07:46:44,+03:23:38
,258,"Henrysson, Ellen (SWE)",07:47:18,+03:24:12
,259,"Alexandersson, Charlott (SWE)",07:47:19,+03:24:13
,260,"Jöbstl, Babsi (AUT)",07:47:46,+03:24:40
,261,"Frydenberg, Anna (SWE)",07:48:21,+03:25:15
,262,"Kallhed, Lova (SWE)",07:49:14,+03:26:08
,263,"Martinsson, Rakel (SWE)",07:49:20,+03:26:14
,264,"Mäki, Nina (FIN)",07:50:17,+03:27:11
,265,"Otterdahl, Linnéa (SWE)",07:50:39,+03:27:33
,266,"Ehn, Clara (SWE)",07:50:46,+03:27:40
,267,"Hjorth, Moa (SWE)",07:51:00,+03:27:54
,268,"Eriksson, Lisa (SWE)",07:51:02,+03:27:56
,269,"Mörk, Marie (SWE)",07:51:04,+03:27:58
,270,"Dobsicek Trefna, Hana (CZE)",07:51:27,+03:28:21
,271,"Moengen, Marthe (NOR)",07:51:33,+03:28:27
,272,"Laudi, Silke (GER)",07:51:39,+03:28:33
,273,"Feragen, Maren (NOR)",07:51:47,+03:28:41
,274,"Landström, Susanna (SWE)",07:51:57,+03:28:51
,275,"Semberg, Ann Kristine (SWE)",07:52:21,+03:29:15
,276,"Kjellström, Ingrid (SWE)",07:52:36,+03:29:30
,277,"Friman, Jennifer (SWE)",07:53:28,+03:30:22
,278,"Andersson, Maria (SWE)",07:53:29,+03:30:23
,279,"Björk, Emelie (SWE)",07:54:37,+03:31:31
,280,"Franzén, Yvonne (SWE)",07:54:53,+03:31:47
,281,"Lundgren, Julia (SWE)",07:54:57,+03:31:51
,282,"Israelsson, Fanny (SWE)",07:54:59,+03:31:53
,283,"Hacksell, Marika (SWE)",07:55:13,+03:32:07
,284,"Nordquist, Gabriella (SWE)",07:55:17,+03:32:11
,285,"Svensson, Ellen (SWE)",07:55:23,+03:32:17
,286,"Karlsson, Elsa (SWE)",07:55:31,+03:32:25
,287,"Kristiansen, Vibeke Smith (NOR)",07:55:36,+03:32:30
,288,"Tuuf, Johanna (SWE)",07:55:44,+03:32:38
,289,"Svensson, Lovisa (SWE)",07:55:55,+03:32:49
,290,"Kull, Emelie (SWE)",07:56:06,+03:33:00
,291,"Westgaard, Ida (NOR)",07:56:33,+03:33:27
,292,"Berglund, Olivia (SWE)",07:56:43,+03:33:37
,293,"Johansson, Lisa (SWE)",07:56:54,+03:33:48
,294,"Häggqvist, Jessica (SWE)",07:57:45,+03:34:39
,295,"Hansen, Julie Flatner (NOR)",07:58:11,+03:35:05
,296,"Børtnes, Brynhild (NOR)",07:58:36,+03:35:30
,297,"Rylander, Sofia (SWE)",07:59:04,+03:35:58
,298,"Eriksson, Katarina (SWE)",07:59:10,+03:36:04
,299,"Bohwalli, Linnea (SWE)",07:59:31,+03:36:25
,300,"Hamacek, Charlotte (SWE)",07:59:40,+03:36:34
,301,"Rantaniemi, Lisbeth (SWE)",07:59:55,+03:36:49
,302,"Bryntesson, Lenita (SWE)",07:59:55,+03:36:49
,303,"Ottosson, Jannike (SWE)",08:00:18,+03:37:12
,304,"Enqvist, Carina (SWE)",08:00:58,+03:37:52
,305,"Tibar, Marion (EST)",08:01:13,+03:38:07
,306,"Henriksson, Emma (SWE)",08:01:15,+03:38:09
,307,"Melaaen, Gunilla (NOR)",08:01:22,+03:38:16
,308,"Widén, Malin (SWE)",08:01:45,+03:38:39
,309,"Björk, Nathalie (SWE)",08:02:27,+03:39:21
,310,"Augustsson, Monica (SWE)",08:02:37,+03:39:31
,311,"Skorepová, Alena (CZE)",08:03:26,+03:40:20
