total-place,gender-place,name,time,diff
,289,"Crona, Ragnar (SWE)",04:57:05,+01:04:22
,290,"Pallo, Rait (EST)",04:57:13,+01:04:30
,291,"Gjevre, Jostein (NOR)",04:57:25,+01:04:42
,292,"Backlund, Sebastian (SWE)",04:57:48,+01:05:05
,293,"Kovar, Petr (CZE)",04:57:56,+01:05:13
,294,"Johansson, Viktor (SWE)",04:58:04,+01:05:21
,295,"Karlsson, Anton (SWE)",04:58:17,+01:05:34
,296,"Iversen, Wilhelm (NOR)",04:58:30,+01:05:47
,297,"Thunander, Henric (SWE)",04:58:31,+01:05:48
,298,"Lodin, Alexander (SWE)",04:58:31,+01:05:48
,299,"Olsson, Oscar (SWE)",04:58:38,+01:05:55
,300,"Söderberg, Mathias (SWE)",04:58:47,+01:06:04
,301,"Åkerlund, Tobias (FIN)",04:58:49,+01:06:06
,302,"Strömbäck, Björn (SWE)",04:58:49,+01:06:06
,303,"Svahn, Leo (SWE)",04:58:52,+01:06:09
,304,"Nylén, Richard (SWE)",04:58:56,+01:06:13
,305,"Hevröy, Anders (NOR)",04:58:56,+01:06:13
,306,"Engström, Erik (SWE)",04:58:59,+01:06:16
,307,"Eriksson Järheim, Henrik (SWE)",04:59:00,+01:06:17
,308,"Danielsson, Jerry (ALA)",04:59:07,+01:06:24
,309,"Danielsson, Daniel (SWE)",04:59:24,+01:06:41
,310,"Pettersson Arwedahl, Hugo (SWE)",04:59:38,+01:06:55
,311,"Eklund, Mikael (FIN)",04:59:44,+01:07:01
,312,"Berg, David (SWE)",04:59:45,+01:07:02
,313,"Åleheim, Kim (SWE)",05:00:08,+01:07:25
,314,"Weaas, Henning (NOR)",05:00:11,+01:07:28
,315,"Conradsson, Jonatan (SWE)",05:00:19,+01:07:36
,316,"Wahl, Jakob (SWE)",05:00:22,+01:07:39
,317,"Karlsson, Ola (SWE)",05:00:24,+01:07:41
,318,"Eßbach, Jens (GER)",05:00:25,+01:07:42
,319,"Detassis, Stefano (ITA)",05:00:29,+01:07:46
,320,"Tollehaug, Per Ingvar (NOR)",05:00:32,+01:07:49
,321,"Kjøsnes, Eivind (NOR)",05:00:34,+01:07:51
,322,"Lövgren, Oscar (SWE)",05:00:42,+01:07:59
,323,"Impola, Bob (SWE)",05:00:55,+01:08:12
,324,"Tufvesson, Kristian (SWE)",05:00:56,+01:08:13
,325,"Lundell, Erik (SWE)",05:00:57,+01:08:14
,326,"Cervinka, Maxim (GER)",05:01:13,+01:08:30
,327,"Fors, Henrik (SWE)",05:01:15,+01:08:32
,328,"Riedl, Peter (GER)",05:01:20,+01:08:37
,329,"Slettan, Axel (NOR)",05:01:28,+01:08:45
,330,"Marklund, Eric (SWE)",05:01:47,+01:09:04
,331,"Conti, Tiziano (ITA)",05:01:48,+01:09:05
,332,"Veie, Rune (NOR)",05:01:49,+01:09:06
,333,"Tofteberg, Theodor (NOR)",05:01:49,+01:09:06
,334,"Melin, Martin (SWE)",05:01:54,+01:09:11
,335,"Wahlberg, Henrik (SWE)",05:01:54,+01:09:11
,336,"Olsson, Fredrik (SWE)",05:01:55,+01:09:12
,337,"Jörger, Gian (SUI)",05:01:57,+01:09:14
,338,"Moen, Eirik (NOR)",05:01:57,+01:09:14
,339,"Myrén, Mathias (SWE)",05:01:58,+01:09:15
,340,"Didron, Johan (SWE)",05:02:00,+01:09:17
,341,"Martinsson, Erik (SWE)",05:02:11,+01:09:28
,342,"Endrestad, Sebastian (CHI)",05:02:17,+01:09:34
,343,"Timm, Rimo (EST)",05:02:24,+01:09:41
,344,"Lintzén, Johan (SWE)",05:02:25,+01:09:42
,345,"Eriksson, Benjamin (SWE)",05:02:28,+01:09:45
,346,"Flønes, Runar (NOR)",05:02:29,+01:09:46
,347,"Rønningen, Torstein (NOR)",05:02:38,+01:09:55
,348,"Waldauf, Mattias (AUT)",05:02:39,+01:09:56
,349,"Grätzer, Daniel (SUI)",05:02:40,+01:09:57
,350,"Jorgensen, Valdemar Alfred (DEN)",05:03:08,+01:10:25
,351,"Larsson, André (SWE)",05:03:08,+01:10:25
,352,"Koch, Moritz (GER)",05:03:10,+01:10:27
,353,"Danielsson, Erik (SWE)",05:03:13,+01:10:30
,354,"Ejnarsson, Gustav (SWE)",05:03:14,+01:10:31
,355,"Vala, Jørund (NOR)",05:03:17,+01:10:34
,356,"Teichmann, Axel (GER)",05:03:19,+01:10:36
,357,"Furunäs, Johan (SWE)",05:03:20,+01:10:37
,358,"Nordström, Ulf (SWE)",05:03:24,+01:10:41
,359,"Moholt, Magnus (NOR)",05:03:28,+01:10:45
,360,"Olsen, Måns (SWE)",05:03:43,+01:11:00
,361,"Björkman, Axel (SWE)",05:03:45,+01:11:02
,362,"Jensen, Anton (NOR)",05:03:51,+01:11:08
,363,"Thorell, David (SWE)",05:03:59,+01:11:16
,364,"Hellmark, Marcus (SWE)",05:04:04,+01:11:21
,365,"Nilsson, Andreas (SWE)",05:04:06,+01:11:23
,366,"Larsson, Thommy (SWE)",05:04:09,+01:11:26
,367,"Bengtsson, Andreas (SWE)",05:04:09,+01:11:26
,368,"Marhoun, Petr (CZE)",05:04:24,+01:11:41
,369,"Partanen, Harri (SWE)",05:04:28,+01:11:45
,370,"Hagström, Gustav (SWE)",05:04:30,+01:11:47
,371,"Karlsson, Erik (SWE)",05:04:33,+01:11:50
,372,"Wiklund, Aron (FIN)",05:04:35,+01:11:52
,373,"Rikner, Viktor (SWE)",05:04:35,+01:11:52
,374,"Hamrin, Jesper (SWE)",05:04:50,+01:12:07
,375,"Hamrin Borin, Nils (SWE)",05:04:50,+01:12:07
,376,"Richter, Michael (GER)",05:04:53,+01:12:10
,377,"Petersson, Patrik (SWE)",05:04:56,+01:12:13
,378,"Bernshausen, Max (GER)",05:04:57,+01:12:14
,379,"Legernes, Jonas (SWE)",05:04:58,+01:12:15
,380,"Holter, Thomas Christian (NOR)",05:05:05,+01:12:22
,381,"Kastensson, Johan (SWE)",05:05:10,+01:12:27
,382,"Struck, Sven (GER)",05:05:14,+01:12:31
,383,"Fagerholt, Jan Olav (NOR)",05:05:30,+01:12:47
,384,"Åleheim, Joakim (SWE)",05:05:32,+01:12:49
,385,"Remund, Matthias (SUI)",05:05:36,+01:12:53
,386,"Kühne, Andy (GER)",05:05:39,+01:12:56
,387,"Rauhala, Markku (FIN)",05:05:48,+01:13:05
,388,"Melander, Björn (SWE)",05:05:49,+01:13:06
,389,"Spjuth, Jesper (SWE)",05:05:51,+01:13:08
,390,"Hellman, Aleksi (FIN)",05:05:59,+01:13:16
,391,"Fjellvang, Peder Olrud (NOR)",05:06:01,+01:13:18
,392,"Mezzacasa, Iacopo (ITA)",05:06:02,+01:13:19
,393,"Leipalu, Uku (EST)",05:06:03,+01:13:20
,394,"Arnland, Erik (SWE)",05:06:24,+01:13:41
,395,"Sundvall, Erik (SWE)",05:06:25,+01:13:42
,396,"Käller, Daniel (SWE)",05:06:30,+01:13:47
,397,"Fritz, Mattias (SWE)",05:06:31,+01:13:48
,398,"Jakobsson, Johan (SWE)",05:06:32,+01:13:49
,399,"Carbonnier, Anders (SWE)",05:06:33,+01:13:50
,400,"Sandvik, Geir (NOR)",05:06:37,+01:13:54
,401,"Pross, Roman (CZE)",05:06:39,+01:13:56
,402,"Myhr, Johan (SWE)",05:06:41,+01:13:58
,403,"Uggeldahl, Jan (FIN)",05:06:46,+01:14:03
,404,"Bäckebjörk, Petter (SWE)",05:06:47,+01:14:04
,405,"Engman, Bill (SWE)",05:06:57,+01:14:14
,406,"Lindfors, Magnus (SWE)",05:07:03,+01:14:20
,407,"Höglund, Mathias (FIN)",05:07:15,+01:14:32
,408,"Wennersberg, Øyvind (NOR)",05:07:16,+01:14:33
,409,"Seebacher, Hartwig (AUT)",05:07:36,+01:14:53
,410,"Häkkinen, Jussi (FIN)",05:07:37,+01:14:54
,411,"Lundberg, Björn (SWE)",05:07:37,+01:14:54
,412,"Molander, Anders (SWE)",05:07:39,+01:14:56
,413,"Jansson Palmer, Erik (SWE)",05:07:40,+01:14:57
,414,"Af Wåhlberg, Linus (SWE)",05:07:42,+01:14:59
,415,"Frisk, Joakim (SWE)",05:07:44,+01:15:01
,416,"Landa, Frantisek (CZE)",05:07:51,+01:15:08
,417,"Dargatz, Tobias (GER)",05:07:55,+01:15:12
,418,"Orellana Hellerud, Adrian (NOR)",05:08:02,+01:15:19
,419,"Kvikne, Henrik (NOR)",05:08:02,+01:15:19
,420,"Burling, Magnus (SWE)",05:08:11,+01:15:28
,421,"Messel, Thor-Erik (NOR)",05:08:15,+01:15:32
,422,"Skogsrud, Kristian (NOR)",05:08:38,+01:15:55
,423,"Wiklund, Jona (FIN)",05:08:41,+01:15:58
,424,"Kindt, Andreas (GER)",05:08:41,+01:15:58
,425,"Hanssen-Bauer, Øyvind Waage (NOR)",05:08:48,+01:16:05
,426,"Risan, Thorbjørn (NOR)",05:08:50,+01:16:07
,427,"Henricsson, Johan (SWE)",05:08:51,+01:16:08
,428,"Lindroos, Anders (SWE)",05:08:51,+01:16:08
,429,"Ahlberg, Andreas (SWE)",05:08:52,+01:16:09
,430,"Söndmör, Henning (NOR)",05:08:52,+01:16:09
,431,"Reichelt, Tom (GER)",05:08:55,+01:16:12
,432,"Hübinette, Anders (SWE)",05:08:56,+01:16:13
,433,"Cicchetti, Antonio (SWE)",05:09:05,+01:16:22
,434,"Anderberg, Ludvig (SWE)",05:09:07,+01:16:24
,435,"Litzell, Henrik (SWE)",05:09:09,+01:16:26
,436,"Ottosson, Martin (SWE)",05:09:10,+01:16:27
,437,"Strandbakke, Geir (NOR)",05:09:13,+01:16:30
,438,"Magnusson, Anders (SWE)",05:09:18,+01:16:35
,439,"Amundsen, Jonas (NOR)",05:09:28,+01:16:45
,440,"Helmen, Halvard (NOR)",05:09:36,+01:16:53
,441,"Lindell, Oscar (SWE)",05:09:39,+01:16:56
