total-place,gender-place,name,time,diff
,3480,"Isaksson, Tobias (SWE)",00:39:05,+27:04
,3481,"Hanke, Klaus (GER)",00:39:06,+27:05
,3482,"Cichy, David (CZE)",00:39:06,+27:05
,3483,"Mustimets, Margus (EST)",00:39:06,+27:05
,3484,"Svensson, Henrik (SWE)",00:39:06,+27:05
,3485,"Andersson, Martin (SWE)",00:39:07,+27:06
,3486,"Nilsson, Roger (SWE)",00:39:07,+27:06
,3487,"Färjhage, Magnus (SWE)",00:39:07,+27:06
,3488,"Johansson, Pär (SWE)",00:39:08,+27:07
,3489,"Lund Håheim, Magnus (NOR)",00:39:08,+27:07
,3490,"Holter, Roar (NOR)",00:39:08,+27:07
,3491,"Gran, Anders (SWE)",00:39:08,+27:07
,3492,"Soukup, Václav (CZE)",00:39:08,+27:07
,3493,"Jonsson, Magnus (SWE)",00:39:08,+27:07
,3494,"Nilsson, Tomas (SWE)",00:39:09,+27:08
,3495,"Fredin, Niclas (SWE)",00:39:09,+27:08
,3496,"Sjödin, Mats (SWE)",00:39:10,+27:09
,3497,"Hielte, Claes (SWE)",00:39:10,+27:09
,3498,"Bergsbakk Holter, Erik (NOR)",00:39:10,+27:09
,3499,"Hladik, Lubos (CZE)",00:39:11,+27:10
,3500,"Lyrvall, Erik (SWE)",00:39:11,+27:10
,3501,"Larsson, Mats-Erik (SWE)",00:39:11,+27:10
,3502,"Molén, Jan (SWE)",00:39:12,+27:11
,3503,"Jansson, Alf (SWE)",00:39:12,+27:11
,3504,"Johansson, Kenneth (SWE)",00:39:12,+27:11
,3505,"Jorlin, Anders (SWE)",00:39:13,+27:12
,3506,"Arnarson, Örvar (ISL)",00:39:13,+27:12
,3507,"Björklund, Elias (SWE)",00:39:13,+27:12
,3508,"Hemstad, Stefan (SWE)",00:39:13,+27:12
,3509,"Hammarberg, Lars (SWE)",00:39:13,+27:12
,3510,"Älverbrandt, Martin (SWE)",00:39:14,+27:13
,3511,"Dahl, Lars (NOR)",00:39:14,+27:13
,3512,"Mares, Miroslav (CZE)",00:39:14,+27:13
,3513,"Strömgren, Östen (SWE)",00:39:14,+27:13
,3514,"Sköldfelt, Joakim (SWE)",00:39:14,+27:13
,3515,"Jank?j, Martin (CZE)",00:39:15,+27:14
,3516,"Metspalu, Martin (EST)",00:39:15,+27:14
,3517,"Ohlsson, Johan (SWE)",00:39:15,+27:14
,3518,"Lööf, Richard (SWE)",00:39:15,+27:14
,3519,"Hoth, Nils (GER)",00:39:15,+27:14
,3520,"Aarmo, Roger (NOR)",00:39:16,+27:15
,3521,"Asp, Sebastian (SWE)",00:39:16,+27:15
,3522,"Zetterberg, Magnus (SWE)",00:39:16,+27:15
,3523,"Vestin, Ludvig (SWE)",00:39:16,+27:15
,3524,"Gunnarsson, Jan (SWE)",00:39:16,+27:15
,3525,"Tengberg, Freddy (SWE)",00:39:16,+27:15
,3526,"Johansson, Emil (SWE)",00:39:16,+27:15
,3527,"Krejci, Jaroslav (CZE)",00:39:16,+27:15
,3528,"Oinaskallio, Erkki (FIN)",00:39:17,+27:16
,3529,"Edland, Knut Olav (NOR)",00:39:17,+27:16
,3530,"Ranum, Tommy (NOR)",00:39:17,+27:16
,3531,"Kvarnfors, Olle (SWE)",00:39:17,+27:16
,3532,"Körner, Tilo (GER)",00:39:18,+27:17
,3533,"Svensson, Peter (SWE)",00:39:18,+27:17
,3534,"Ström, Erik (SWE)",00:39:18,+27:17
,3535,"Hulander, Linus (SWE)",00:39:18,+27:17
,3536,"Carlsson, Johan (SWE)",00:39:18,+27:17
,3537,"Flensén, Martin (SWE)",00:39:18,+27:17
,3538,"Kleggetveit, Per Morten (NOR)",00:39:19,+27:18
,3539,"Hellberg, Mårten (SWE)",00:39:19,+27:18
,3540,"Holm, Per (SWE)",00:39:19,+27:18
,3541,"Hansson, Morgan (SWE)",00:39:19,+27:18
,3542,"Rylander, Fredrik (SWE)",00:39:20,+27:19
,3543,"Chynava, Pavel (CZE)",00:39:20,+27:19
,3544,"Näsström, Henrik (SWE)",00:39:20,+27:19
,3545,"Baserga, Martin (SUI)",00:39:20,+27:19
,3546,"Dupont, Albert (ITA)",00:39:21,+27:20
,3547,"Parv, Oliver (EST)",00:39:21,+27:20
,3548,"Janata, Milan (CZE)",00:39:22,+27:21
,3549,"Kullander, Klas (SWE)",00:39:22,+27:21
,3550,"Vuoriheimo, Marko (FIN)",00:39:22,+27:21
,3551,"Stormo, Sondre (NOR)",00:39:22,+27:21
,3552,"Olsén, Martin (SWE)",00:39:22,+27:21
,3553,"Stenbacka, Rickard (SWE)",00:39:23,+27:22
,3554,"Nilsson, Daniel (SWE)",00:39:24,+27:23
,3555,"Kronblad, Robert (SWE)",00:39:24,+27:23
,3556,"Joeckel, Manfred (GER)",00:39:24,+27:23
,3557,"Lenzhofer, Peter Horst (AUT)",00:39:24,+27:23
,3558,"Drottman, Peter (SWE)",00:39:25,+27:24
,3559,"Modigs, Ola (SWE)",00:39:25,+27:24
,3560,"Fochesato, Stefano (ITA)",00:39:25,+27:24
,3561,"Sattlegger, Günter (AUT)",00:39:25,+27:24
,3562,"Gerdin, Andreas (SWE)",00:39:25,+27:24
,3563,"Näsvall, David (SWE)",00:39:26,+27:25
,3564,"Persson, Jens (SWE)",00:39:26,+27:25
,3565,"Lindh, Stefan (SWE)",00:39:26,+27:25
,3566,"Fäldt, Kristian (SWE)",00:39:27,+27:26
,3567,"Juhandi, Aivar (EST)",00:39:27,+27:26
,3568,"Oskarsson, Martin (SWE)",00:39:27,+27:26
,3569,"Johansson, Urban (SWE)",00:39:27,+27:26
,3570,"Johansson, Daniel (SWE)",00:39:28,+27:27
,3571,"Krooni, Ragnar (EST)",00:39:28,+27:27
,3572,"Sundberg, Martin (SWE)",00:39:28,+27:27
,3573,"Wallqvist, Anders (SWE)",00:39:29,+27:28
,3574,"Alexandersson, Simon (SWE)",00:39:29,+27:28
,3575,"Parenica, Adam (CZE)",00:39:29,+27:28
,3576,"Leitner, David (AUT)",00:39:30,+27:29
,3577,"Hylander, Thomas (SWE)",00:39:30,+27:29
,3578,"Horky, Jiri (CZE)",00:39:30,+27:29
,3579,"Magnusson, Anders (SWE)",00:39:30,+27:29
,3580,"Mäki Kero, Andreas (SWE)",00:39:30,+27:29
,3581,"Borch, Odd Jarl (NOR)",00:39:31,+27:30
,3582,"Weichbold, Gerald (AUT)",00:39:31,+27:30
,3583,"Andersson, Robin (SWE)",00:39:31,+27:30
,3584,"Blomstedt, Jon Emil (SWE)",00:39:31,+27:30
,3585,"Sehler, Albin (SWE)",00:39:31,+27:30
,3586,"Eriksson, Erik (SWE)",00:39:32,+27:31
,3587,"Israelsson, Björn (SWE)",00:39:32,+27:31
,3588,"Höglin, Olof (SWE)",00:39:32,+27:31
,3589,"Jónsson, Hjalti (ISL)",00:39:33,+27:32
,3590,"Larsson, Rasmus (SWE)",00:39:33,+27:32
,3591,"Holemy, Libor (CZE)",00:39:33,+27:32
,3592,"Kehl, Maurus (SUI)",00:39:34,+27:33
,3593,"Smolar, Martin (CZE)",00:39:34,+27:33
,3594,"Rosén, Andreas (SWE)",00:39:34,+27:33
,3595,"Caspersson, Tomas (SWE)",00:39:35,+27:34
,3596,"Åhlund, Christer (SWE)",00:39:36,+27:35
,3597,"Eriksson, Erik (SWE)",00:39:36,+27:35
,3598,"Johansson, Stefan (SWE)",00:39:36,+27:35
,3599,"Winqvist, Greger (FIN)",00:39:37,+27:36
,3600,"Jansson, Måns (SWE)",00:39:37,+27:36
,3601,"Bröjer, Kristoffer (SWE)",00:39:38,+27:37
,3602,"Jilek, Mojmir (CZE)",00:39:39,+27:38
,3603,"Lehtimaki, Kimmo (FIN)",00:39:39,+27:38
,3604,"Lindström, Johan (SWE)",00:39:40,+27:39
,3605,"Markl, Andreas (SWE)",00:39:40,+27:39
,3606,"Jönsson, Kristian (SWE)",00:39:40,+27:39
,3607,"Tärning, Hugo (SWE)",00:39:41,+27:40
,3608,"Rusnak, Stepan (CZE)",00:39:41,+27:40
,3609,"Rupnik, Jožko (SLO)",00:39:42,+27:41
,3610,"Hall, Victor (SWE)",00:39:43,+27:42
,3611,"Keituri, Anders (FIN)",00:39:44,+27:43
,3612,"Gustafsson, Martin (SWE)",00:39:44,+27:43
,3613,"Andersson, Viktor (SWE)",00:39:45,+27:44
